fhwa_id,name,states,assigned_state,state_assignment_method,state_length_summary,designations,style,geometry_source,geometry_source_detail,segment_count,continuous_part_count,endpoint_marker_count,point_count,status,source_url
2477,A1A Scenic & Historic Coastal Byway,Florida,Florida,ArcGIS longest geometry length by State,Florida:71.0mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 2,78,3,6,581,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2477
13791,Acadia All-American Road,Maine,Maine,ArcGIS longest geometry length by State,Maine:42.0mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,8,1,2,890,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13791
2442,Alabama's Coastal Connection,Alabama,Alabama,ArcGIS longest geometry length by State,Alabama:121.4mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,43,4,8,1374,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2442
12398,Alaska Marine Highway,Alaska,Alaska,ArcGIS longest geometry length by State,Alaska:2506.4mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,31,23,46,932,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/12398
13793,Amish Country Byway,Ohio,Ohio,ArcGIS longest geometry length by State,Ohio:76.1mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,82,1,2,3186,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13793
10246,Arroyo Seco Historic Parkway - Route 110,California,California,ArcGIS longest geometry length by State,California:7.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,31,1,2,295,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10246
13794,Ashley River Road,South Carolina,South Carolina,ArcGIS longest geometry length by State,South Carolina:13.3mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,21,1,2,381,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13794
2271,Baltimore's Historic Charles Street,Maryland,Maryland,ArcGIS longest geometry length by State,Maryland:10.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,21,1,2,438,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2271
2066,Bayou Teche Scenic Byway,Louisiana,Louisiana,ArcGIS longest geometry length by State,Louisiana:228.6mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,62,10,18,3097,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2066
81510,Bayshore Heritage Byway,New Jersey,New Jersey,ArcGIS longest geometry length by State,New Jersey:112.6mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,22,4,8,1527,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81510
2281,Beartooth Highway,"Montana, Wyoming",Wyoming,ArcGIS longest geometry length by State,Wyoming:34.8mi; Montana:31.7mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,6,1,2,1458,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2281
2599,Big Bend Scenic Byway,Florida,Florida,ArcGIS longest geometry length by State,Florida:207.1mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,54,1,2,1534,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2599
2062,Billy the Kid Trail,New Mexico,New Mexico,ArcGIS longest geometry length by State,New Mexico:84.1mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,719,1,2,3217,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2062
2280,Blue Ridge Parkway,"North Carolina, Virginia",North Carolina,ArcGIS longest geometry length by State,North Carolina:246.9mi; Virginia:213.5mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,30,3,5,7791,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2280
81499,Bold Coast Scenic Byway,Maine,Maine,FHWA first state fallback,,National Scenic Byway,national-scenic-byway-green,OSM补齐,OSRM public route over OSM road network using documented byway endpoints/waypoints,1,1,2,2551,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81499
81497,Boom or Bust Byway,Louisiana,Louisiana,FHWA first state fallback,,National Scenic Byway,national-scenic-byway-green,OSM补齐,OSRM public route over OSM road network using documented byway endpoints/waypoints,1,1,2,1200,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81497
64115,Brandywine Valley Scenic Byway,"Pennsylvania, Delaware",Delaware,ArcGIS longest geometry length by State,Delaware:12.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,26,1,2,309,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/64115
2144,Cascade Lakes Scenic Byway,Oregon,Oregon,ArcGIS longest geometry length by State,Oregon:68.7mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,3,1,2,371,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2144
2063,Cascade Loop,Washington,Washington,ArcGIS longest geometry length by State,Washington:422.7mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,971,1,2,11295,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2063
2282,Cherohala Skyway,"North Carolina, Tennessee",Tennessee,ArcGIS longest geometry length by State,Tennessee:22.5mi; North Carolina:17.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,6,1,2,728,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2282
2161,Cherokee Foothills Scenic Highway,South Carolina,South Carolina,ArcGIS longest geometry length by State,South Carolina:117.4mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,197,1,2,3563,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2161
2346,Cherokee Hills Byway,Oklahoma,Oklahoma,ArcGIS longest geometry length by State,Oklahoma:84.6mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,102,1,2,1199,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2346
2261,Chesapeake Country Scenic Byway,Maryland,Maryland,ArcGIS longest geometry length by State,Maryland:84.7mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 2,37,2,4,1107,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2261
2226,Chinook Scenic Byway,Washington,Washington,ArcGIS longest geometry length by State,Washington:91.6mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,8,1,2,1038,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2226
39538,"City of Las Vegas, Las Vegas Boulevard National Scenic Byway",Nevada,Nevada,ArcGIS longest geometry length by State,Nevada:4.2mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 1,1,1,2,27,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/39538
10346,Coal Heritage Trail,West Virginia,West Virginia,ArcGIS longest geometry length by State,West Virginia:148.1mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,344,2,4,10483,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10346
60441,Colonial Parkway,Virginia,Virginia,ArcGIS longest geometry length by State,Virginia:22.5mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,28,1,2,1516,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/60441
2106,Colorado River Headwaters Byway,Colorado,Colorado,ArcGIS longest geometry length by State,Colorado:67.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,8,1,2,1081,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2106
2487,Connecticut River Byway,"Massachusetts, New Hampshire, Vermont",New Hampshire,ArcGIS longest geometry length by State,New Hampshire:241.1mi; Vermont:130.3mi; Massachusetts:37.7mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,160,6,10,10026,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2487
2451,Connecticut State Route 169,Connecticut,Connecticut,ArcGIS longest geometry length by State,Connecticut:31.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,13,1,2,747,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2451
13828,Copper Country Trail,Michigan,Michigan,ArcGIS longest geometry length by State,Michigan:47.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,46,1,2,1125,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13828
2059,Coronado Trail Scenic Byway,Arizona,Arizona,ArcGIS longest geometry length by State,Arizona:116.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,14,1,2,7735,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2059
54772,Coulee Corridor Scenic Byway,Washington,Washington,ArcGIS longest geometry length by State,Washington:151.5mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,103,1,2,2551,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/54772
2567,Country Music Highway,Kentucky,Kentucky,ArcGIS longest geometry length by State,Kentucky:149.5mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,232,1,2,5282,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2567
2454,Creole Nature Trail,Louisiana,Louisiana,ArcGIS longest geometry length by State,Louisiana:165.8mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,38,3,6,1075,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2454
2588,Crowley's Ridge Parkway,"Arkansas, Missouri",Arkansas,ArcGIS longest geometry length by State,Arkansas:188.8mi; Missouri:15.0mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,84,1,2,2880,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2588
