fhwa_id,name,states,designations,is_all_american_road,is_national_scenic_byway,source_url
2477,A1A Scenic & Historic Coastal Byway,Florida,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2477
13791,Acadia All-American Road,Maine,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13791
2442,Alabama's Coastal Connection,Alabama,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2442
12398,Alaska Marine Highway,Alaska,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/12398
13793,Amish Country Byway,Ohio,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13793
10246,Arroyo Seco Historic Parkway - Route 110,California,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10246
13794,Ashley River Road,South Carolina,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13794
2271,Baltimore's Historic Charles Street,Maryland,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2271
2066,Bayou Teche Scenic Byway,Louisiana,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2066
81510,Bayshore Heritage Byway,New Jersey,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81510
2281,Beartooth Highway,"Montana, Wyoming",All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2281
2599,Big Bend Scenic Byway,Florida,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2599
2062,Billy the Kid Trail,New Mexico,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2062
2280,Blue Ridge Parkway,"North Carolina, Virginia",All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2280
81499,Bold Coast Scenic Byway,Maine,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81499
81497,Boom or Bust Byway,Louisiana,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81497
64115,Brandywine Valley Scenic Byway,"Pennsylvania, Delaware",National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/64115
2144,Cascade Lakes Scenic Byway,Oregon,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2144
2063,Cascade Loop,Washington,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2063
2282,Cherohala Skyway,"North Carolina, Tennessee",National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2282
2161,Cherokee Foothills Scenic Highway,South Carolina,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2161
2346,Cherokee Hills Byway,Oklahoma,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2346
2261,Chesapeake Country Scenic Byway,Maryland,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2261
2226,Chinook Scenic Byway,Washington,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2226
39538,"City of Las Vegas, Las Vegas Boulevard National Scenic Byway",Nevada,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/39538
10346,Coal Heritage Trail,West Virginia,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10346
60441,Colonial Parkway,Virginia,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/60441
2106,Colorado River Headwaters Byway,Colorado,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2106
2487,Connecticut River Byway,"Massachusetts, New Hampshire, Vermont",National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2487
2451,Connecticut State Route 169,Connecticut,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2451
13828,Copper Country Trail,Michigan,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13828
2059,Coronado Trail Scenic Byway,Arizona,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2059
54772,Coulee Corridor Scenic Byway,Washington,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/54772
2567,Country Music Highway,Kentucky,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2567
2454,Creole Nature Trail,Louisiana,All-American Road,True,False,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2454
2588,Crowley's Ridge Parkway,"Arkansas, Missouri",National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2588
81521,Cumberland Historic Byway,Tennessee,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81521
2176,Death Valley Scenic Byway,California,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2176
81486,Delaware Bayshore Byway,Delaware,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81486
2463,Delaware River Scenic Byway,New Jersey,National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2463
2474,Dinosaur Diamond Prehistoric Highway,"Colorado, Utah",National Scenic Byway,False,True,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2474
